,child,parent
145,n02096437,n02092468
146,n02114712,n02114100
147,n02105641,n02104523
148,n02104523,n02103406
149,n02128925,n02127808
150,n02089725,n02089555
151,n02449350,n02441326
152,n02063662,n02063224
153,n02148088,n02145424
154,n02086346,n02085374
155,n02099997,n02098550
156,n02091635,n02087551
157,n02449699,n02441326
158,n02088466,n02087551
159,n02356381,n02355477
160,n02472293,n02471762
161,n02103841,n02103406
162,n02410141,n02409870
163,n02087122,n02084071
164,n02096051,n02092468
165,n02353861,n02331309
166,n02125872,n02124623
167,n02375862,n02374451
168,n02126465,n02124623
169,n02442446,n02441942
170,n02391234,n02391049
171,n02369680,n02153809
172,n02117135,n02083346
173,n02421449,n02419796
174,n02106854,n02103406
175,n02333733,n02333546
176,n02138441,n02134971
177,n02332954,n02330245
178,n02102605,n02101108
179,n02401031,n02399000
180,n02382850,n02382437
181,n02122810,n02122725
182,n02097130,n02096756
183,n02345997,n02344528
184,n02358390,n02358091
185,n02493509,n02489589
186,n02427576,n02427724
187,n02457408,n02456962
188,n02121620,n02120997
189,n02085118,n02084861
190,n02389026,n02374451
191,n02443484,n02441326
192,n02377291,n02377181
193,n02378870,n02377703
194,n02326763,n02326432
195,n02110341,n02084071
196,n02089078,n02088839
197,n02387581,n02386496
198,n02086910,n02086346
199,n02470238,n02469914
200,n02084861,n02084071
201,n02340358,n02338901
202,n02445715,n02441326
203,n02354162,n02353861
204,n02339282,n02338901
205,n02093256,n02093056
206,n02450034,n02441326
207,n02101861,n02101108
208,n02364520,n02329401
209,n02437482,n02437136
210,n02112826,n02084071
211,n02117512,n02117135
212,n02406647,n02404186
213,n02113978,n02084071
214,n02136452,n02134971
215,n02478239,n02478077
216,n02077658,n02076779
217,n02133704,n02131653
218,n02474282,n02471762
219,n02106382,n02104523
220,n02441942,n02441326
221,n02349557,n02348788
222,n02113712,n02113335
223,n02425228,n02424695
224,n02113186,n02112826
225,n02508742,n02507649
226,n02349205,n02348788
227,n02417070,n02416519
228,n02356977,n02355477
229,n02392434,n02391994
230,n02385898,n02374451
231,n02094721,n02094562
232,n02413917,n02413131
233,n02502514,n01886756
234,n02435216,n02430045
235,n02105162,n02104882
236,n02369555,n02329401
237,n02119477,n02118333
238,n02368821,n02329401
239,n02480153,n02470899
240,n02393580,n02373336
241,n02415577,n02415435
242,n02499022,n02496913
243,n02356798,n02355477
244,n02397744,n02397529
245,n02405101,n02402175
246,n02350670,n02331309
247,n02488702,n02484473
248,n02123159,n02121808
249,n02064000,n02063224
250,n02482474,n02481823
251,n02472987,n02472293
252,n02472987,n00031264
253,n02081060,n02079389
254,n02348788,n02331309
255,n02067240,n02066707
256,n02481500,n02480855
257,n02476219,n02471762
258,n02368116,n02329401
259,n02403740,n02403454
260,n02403740,n01321854
261,n02085272,n02084071
262,n02328429,n02323449
263,n02125010,n02124623
264,n02495570,n02495242
265,n02407625,n02404186
266,n02126787,n02124623
267,n02083672,n02083346
268,n02414043,n02413131
269,n02449183,n02441326
270,n02146879,n02145424
271,n02354781,n02353861
272,n02126317,n02124623
273,n02350357,n02350105
274,n02364840,n02364520
275,n02130545,n02127808
276,n02356612,n02355477
277,n02376423,n02374451
278,n02495242,n01886756
279,n02387452,n02386496
280,n02366579,n02329401
281,n02098413,n02092468
282,n02137888,n02137549
283,n02123478,n02121808
284,n02389261,n02374451
285,n02448633,n02447366
286,n02422699,n02419796
287,n02474777,n02472293
288,n02473307,n02472293
289,n02148512,n02145424
290,n02365108,n02329401
291,n02114855,n02114100
292,n02488894,n02488702
293,n02094433,n02092468
294,n02506783,n02503517
295,n02323902,n02323449
296,n02414442,n02413131
297,n02097967,n02097786
298,n02382750,n02382437
299,n02111277,n02084071
300,n02410702,n02410509
301,n02132136,n02131653
302,n02447021,n02445715
303,n02407521,n02406174
304,n02119022,n02118333
305,n02324850,n02324045
306,n02072040,n02068974
307,n02091467,n02087551
308,n02382204,n02374451
309,n02106550,n02104523
310,n02422106,n02419796
311,n02381831,n02381460
312,n02358890,n02358091
313,n02334460,n02331046
314,n02387346,n02386496
315,n02091831,n02087551
316,n02120505,n02118333
317,n02104365,n02103841
318,n02458517,n02453611
319,n02109256,n02109150
320,n02354320,n02353861
321,n02077384,n02077152
322,n02140049,n02139671
323,n02490597,n02490219
324,n02448318,n02441326
325,n02391994,n02373336
326,n02425887,n02419796
327,n02086079,n02085374
328,n02403325,n02402425
329,n02397529,n02394477
330,n02414763,n02414578
331,n02359556,n02359324
332,n02112706,n02112497
333,n02120278,n02120079
334,n02100399,n02098550
335,n02436224,n02435853
336,n02098286,n02092468
337,n02132320,n02131653
338,n02074726,n02073250
339,n02417785,n02417534
340,n02342250,n02339376
341,n02411206,n02401031
342,n02450829,n02450034
343,n02489589,n02484322
344,n02339922,n02338901
345,n02359667,n02359324
346,n02450295,n02450034
347,n02095889,n02095727
348,n02077152,n02076779
349,n02484975,n02484473
350,n02379908,n02377703
351,n02357401,n02355477
352,n02116450,n02115335
353,n02367812,n02329401
354,n02137549,n02134971
355,n02389346,n02374149
356,n02379081,n02377703
357,n02494383,n02489589
358,n02503127,n01886756
359,n02500267,n02496913
360,n02493224,n02489589
361,n02339376,n02338901
362,n02432511,n02430045
363,n02135220,n02134971
364,n02129604,n02127808
365,n02435517,n02430045
366,n02090721,n02090475
367,n02113892,n02113335
368,n02411705,n02401031
369,n02413593,n02413131
370,n02081798,n02081571
371,n02446645,n02445715
372,n02407071,n02404186
373,n02076779,n02076196
374,n02148245,n02145424
375,n02380335,n02374451
376,n02082791,n01886756
377,n02477782,n02471762
378,n02434190,n02433925
379,n02109687,n02103406
380,n02432704,n02432511
381,n02106966,n02103841
382,n02094931,n02094721
383,n02442572,n02441942
384,n02373336,n02370806
385,n02325722,n02325366
386,n02396427,n02395003
387,n02096756,n02092468
388,n02125494,n02124623
389,n02108000,n02107420
390,n02357911,n02358091
391,n02417663,n02417534
392,n02122725,n02121808
393,n02098550,n02087122
394,n02441326,n02075296
395,n02379743,n02377703
396,n02477187,n02476219
397,n02093056,n02092468
398,n02083780,n02083672
399,n02150134,n02141306
400,n02431337,n02431122
401,n02113335,n02084071
402,n02434712,n02430045
403,n02417387,n02417070
404,n02451125,n02450034
405,n02344528,n02329401
406,n02405302,n02402175
407,n02344408,n02343772
408,n02379630,n02377703
409,n02412210,n02411705
410,n02487847,n02487347
411,n02391049,n02374149
412,n02378415,n02377703
413,n02385580,n02382948
414,n02412080,n02411705
415,n02069701,n02068974
416,n02446352,n02445715
417,n02470709,n02469914
418,n02337171,n02336641
419,n02413131,n02411705
420,n02108915,n02108672
421,n02381460,n02374451
422,n02430045,n02399000
423,n02110532,n02110341
424,n02409508,n02407959
425,n02405692,n02402425
426,n02386496,n02386310
427,n02480495,n02480153
428,n02328820,n02328429
429,n02110806,n02084071
430,n02128385,n02127808
431,n02507649,n02075296
432,n02359047,n02358091
433,n02098806,n02098550
434,n02419796,n02401031
435,n02383231,n02382948
436,n02107683,n02107420
437,n02085936,n02085374
438,n02094114,n02092468
439,n02087046,n02085374
440,n02100583,n02099997
441,n02406859,n02402425
442,n02096177,n02092468
443,n02494079,n02489589
444,n02128669,n02128385
445,n02101108,n02098550
446,n02403820,n02403325
447,n02403820,n01321854
448,n02369935,n02369680
449,n02386310,n02374451
450,n02105056,n02104882
451,n02148835,n02145424
452,n02101556,n02101108
453,n02378299,n02377703
454,n02123597,n02121808
455,n02109811,n02103406
456,n02378755,n02378415
457,n02411999,n02411705
458,n02136794,n02135220
459,n02481823,n02480153
460,n02134971,n02075296
461,n02105505,n02104523
462,n02431122,n02430045
463,n02144593,n02141713
464,n02377181,n02376918
465,n02482650,n02481823
466,n02358091,n02355227
467,n02437136,n02394477
468,n02130925,n02130545
469,n02082056,n01886756
470,n02416104,n02414578
471,n02391373,n02391049
472,n02088094,n02087551
473,n02414209,n02413131
474,n02085782,n02085374
475,n02489166,n02484473
476,n02498153,n02496913
477,n02382132,n02374451
478,n02092173,n02087551
479,n02364673,n02364520
480,n02442668,n02441942
481,n02075296,n01886756
482,n02380745,n02380583
483,n02131211,n02130545
484,n02416820,n02416519
485,n02331309,n02331046
486,n02114548,n02114100
487,n02459636,n02459190
488,n02124484,n02121808
489,n02360480,n02355227
490,n02134084,n02131653
491,n02352290,n02351870
492,n02485225,n02484975
493,n02480855,n02480153
494,n02081927,n02081571
495,n02386746,n02386310
496,n02386746,n01317391
497,n02065026,n02064338
498,n02436353,n02435853
499,n02124157,n02121808
500,n02090622,n02090475
501,n02075927,n02062017
502,n02508346,n02508021
503,n02482060,n02481823
504,n02456008,n02454379
505,n02113624,n02113335
506,n02488003,n02487347
507,n02389559,n02389346
508,n02354621,n02353861
509,n02430559,n01888264
510,n02415829,n02415435
511,n02477329,n02476219
512,n02423218,n02423022
513,n02506947,n01886756
514,n02378969,n02377703
515,n02093859,n02092468
516,n02432291,n02430045
517,n02069974,n02069701
518,n02078292,n02077923
519,n02346998,n02346627
520,n02068206,n02066707
521,n02327656,n02326432
522,n02064816,n02063224
523,n02403003,n02402425
524,n02097298,n02092468
525,n02421136,n02419796
526,n02397987,n02397529
527,n02491474,n02491107
528,n02482286,n02481823
529,n02108551,n02108254
530,n02414578,n02401031
531,n02493793,n02489589
532,n02421792,n02419796
533,n02077787,n02077658
534,n02390834,n02390454
535,n02419336,n02418064
536,n02107142,n02106966
537,n02117900,n02117135
538,n02419056,n02418064
539,n02375302,n02374451
540,n02399000,n02394477
541,n02445171,n02444819
542,n02504770,n02503517
543,n02423589,n02423022
544,n02096585,n02092468
545,n02393807,n02393580
546,n02475478,n02474777
547,n02128598,n02128385
548,n02427724,n02419796
549,n02107574,n02107420
550,n02385098,n02382948
551,n02360282,n02355227
552,n02378541,n02378415
553,n02107908,n02107420
554,n02136103,n02135220
555,n02086240,n02085374
556,n02102973,n02102605
557,n02388917,n02374451
558,n02330245,n02329401
559,n02485688,n02484975
560,n02414290,n02413131
561,n02475078,n02472293
562,n02115096,n02083346
563,n02095212,n02095050
564,n02442336,n02442172
565,n02150482,n02141306
566,n02388588,n02374451
567,n02509515,n02507649
568,n02072798,n02068974
569,n02069412,n02068974
570,n02428349,n02419796
571,n02389865,n02389559
572,n02112018,n02111626
573,n02089232,n02087122
574,n02093647,n02092468
575,n02371344,n01886756
576,n02397096,n02395003
577,n02413717,n02413131
578,n02416964,n02416519
579,n02376918,n02374451
580,n02376918,n01321230
581,n02450561,n02450034
582,n02445394,n02441326
583,n02409038,n02407959
584,n02430643,n02430559
585,n02437312,n02437136
586,n02394477,n02370806
587,n02426813,n02419796
588,n02413050,n02411705
589,n02483708,n02483092
590,n02097047,n02096756
591,n02471300,n02469914
592,n02385461,n02382948
593,n02083346,n02075296
594,n02106030,n02104523
595,n02461128,n02460009
596,n02353172,n02352591
597,n02099601,n02099029
598,n02388143,n02382948
599,n02455428,n02454379
600,n02471762,n02469914
601,n02372046,n02370806
602,n02093991,n02092468
603,n02118643,n02118333
604,n02110627,n02106966
605,n02118176,n02117135
606,n02324514,n02324045
607,n02106166,n02104523
608,n02387983,n02374451
609,n02428508,n02428349
610,n02135844,n02135220
611,n02062017,n01886756
612,n02473857,n02473307
613,n02499568,n02496913
614,n02474605,n02472293
615,n02350989,n02329401
616,n02146700,n02145424
617,n02090827,n02087551
618,n02090827,n02384858
619,n02499316,n02496913
620,n02145424,n02141306
621,n02326432,n02323902
622,n02138169,n02135220
623,n02380464,n02374451
624,n02108089,n02103406
625,n02142734,n02141713
626,n02097658,n02092468
627,n02385214,n02382948
628,n02088364,n02087551
629,n02103181,n02098550
630,n02129463,n02129165
631,n02104882,n02104523
632,n02437971,n02437616
633,n02425086,n02419796
634,n02381004,n02377703
635,n02111129,n02084071
636,n02338145,n02329401
637,n02065407,n02064338
638,n02100236,n02099997
639,n02486261,n02484473
640,n02416880,n02416519
641,n02115913,n02115335
642,n02424305,n02419796
643,n02451415,n02441326
644,n02486410,n02484473
645,n02484473,n02484322
646,n02487347,n02484473
647,n02443015,n02442845
648,n02127586,n02127052
649,n02403454,n02402425
650,n02503756,n02503517
651,n02420828,n02419796
652,n02390015,n02389346
653,n02501583,n02469914
654,n02062430,n02062017
655,n02366301,n02329401
656,n02390640,n02390454
657,n02098906,n02098550
658,n02450426,n02450034
659,n02492948,n02489589
660,n02381609,n02381460
661,n02424909,n02424695
662,n02137722,n02137549
663,n02112497,n02084071
664,n02147328,n02145424
665,n02370525,n01886756
666,n02412337,n02412210
667,n02479332,n02471300
668,n02422391,n02419796
669,n02099849,n02099029
670,n02108422,n02103406
671,n02349847,n02348788
672,n02088992,n02088839
673,n02104029,n02103841
674,n02492035,n02489589
675,n02477516,n02476219
676,n02341288,n02339376
677,n02097786,n02092468
678,n02433318,n02430045
679,n02110958,n02084071
680,n02345078,n02344528
681,n02450677,n02450034
682,n02089468,n02089232
683,n02099429,n02099029
684,n02366959,n02329401
685,n02406533,n02406174
686,n02407763,n02404186
687,n02363245,n02363005
688,n02090129,n02087551
689,n02094258,n02092468
690,n02132466,n02132136
691,n02385676,n02382948
692,n02336826,n02336641
693,n02388832,n02374451
694,n02391508,n02391049
695,n02405577,n02402425
696,n02386014,n02374451
697,n02099267,n02099029
698,n02092468,n02087122
699,n02087314,n02087122
700,n02382437,n02374451
701,n02485371,n02484975
702,n02377603,n02377480
703,n02122878,n02121808
704,n02336275,n02336011
705,n02070174,n02069701
706,n02123917,n02121808
707,n02404906,n02404573
708,n02129530,n02129165
709,n02333909,n02331046
710,n02395406,n02395003
711,n02380052,n02377703
712,n02404573,n02402010
713,n02127808,n02120997
714,n02502006,n02501583
715,n02348173,n02347744
716,n02416519,n02401031
717,n02334201,n02331046
718,n02417242,n02417070
719,n02483092,n02470899
720,n02386224,n02386014
721,n02103406,n02084071
722,n02146371,n02141306
723,n02433729,n02433546
724,n02503517,n02453108
725,n02503517,n02503127
726,n02112350,n02111626
727,n02362569,n02362194
728,n02109961,n02103406
729,n02067768,n02066707
730,n02150885,n02150482
731,n02079851,n02079389
732,n02111626,n02084071
733,n02390738,n02390454
734,n02101388,n02101108
735,n02332447,n02330245
736,n02458135,n02456962
737,n02428089,n02419796
738,n02337001,n02336641
739,n02080146,n02079389
740,n02381119,n02377703
741,n02344175,n02343772
742,n02113799,n02113335
743,n02382338,n02386310
744,n02095570,n02095412
745,n02505485,n02504770
746,n02128757,n02127808
747,n02460009,n02453611
748,n02082190,n02075296
749,n02490811,n02490219
750,n02335231,n02335127
751,n02423362,n02423022
752,n02351343,n02350989
753,n02433925,n02430045
754,n02458822,n02458517
755,n02505238,n02504770
756,n02456645,n02454379
757,n02076402,n02076196
758,n02396014,n02395003
759,n02377480,n02374451
760,n02138647,n02138441
761,n02127482,n02127052
762,n02475358,n02474777
763,n02140858,n02139671
764,n02087551,n02087122
765,n02326862,n02326432
766,n02140179,n02139671
767,n02474431,n02474110
768,n02496052,n02469914
769,n02406749,n02406174
770,n02361850,n02361337
771,n02347744,n02346627
772,n02380583,n02380335
773,n02427470,n02427724
774,n02325884,n02325366
775,n02374451,n02374149
776,n02101006,n02100399
777,n02121808,n02121620
778,n02121808,n01317541
779,n02132580,n02132136
780,n02505063,n02504770
781,n02438272,n02437616
782,n02377388,n02376918
783,n02122510,n02121808
784,n02431628,n02430045
785,n02326074,n02325366
786,n02389128,n02374451
787,n02115641,n02115335
788,n02097209,n02096756
789,n02506248,n02505998
790,n02327435,n02327028
791,n02125689,n02124623
792,n02413824,n02413131
793,n02371125,n01886756
794,n02492356,n02489589
795,n02448060,n02447366
796,n02342885,n02329401
797,n02078738,n02077923
798,n02062744,n02062430
799,n02426176,n02419796
800,n02393161,n02391994
801,n02097474,n02092468
802,n02415130,n02414578
803,n02094562,n02092468
804,n02340186,n02339922
805,n02408817,n02408429
806,n02120079,n02118333
807,n02414904,n02414578
808,n02095314,n02095050
809,n02064338,n02063224
810,n02460451,n02460009
811,n02387722,n02374451
812,n02447762,n02447366
813,n02080415,n02079389
814,n02088238,n02087551
815,n02410900,n02410509
816,n02406952,n02402425
817,n02435853,n02399000
818,n02393940,n02393580
819,n02408429,n02407959
820,n02345600,n02344528
821,n02328009,n02324045
822,n02353411,n02352591
823,n02366002,n02329401
824,n02086478,n02086346
825,n02455720,n02454379
826,n02133161,n02131653
827,n02328150,n02324045
828,n02355227,n02329401
829,n02410509,n02401031
830,n02487079,n02486410
831,n02146201,n02145424
832,n02424486,n02424305
833,n02492660,n02489589
834,n02430748,n02430045
835,n02343058,n02342885
836,n02398521,n02394477
837,n02406046,n02402425
838,n02415435,n02414578
839,n02395931,n02395406
840,n02112137,n02111626
841,n02402425,n02402010
842,n02436645,n02435853
843,n02341974,n02339376
844,n02510455,n02507649
845,n02365480,n02329401
846,n02147173,n02145424
847,n02085019,n02084861
848,n02119359,n02119022
849,n02107420,n02103406
850,n02407959,n02401031
851,n02070624,n02070430
852,n02093428,n02093056
853,n02105855,n02104523
854,n02124313,n02121808
855,n02405440,n02402175
856,n02111500,n02084071
857,n02389943,n02389346
858,n02118333,n02083346
859,n02361587,n02361337
860,n02434415,n02433925
861,n02115012,n02114855
862,n02491107,n02490219
863,n02085620,n02085374
864,n02337598,n02336641
865,n02331046,n02329401
866,n02444384,n02443808
867,n02487547,n02487347
868,n02142407,n02141713
869,n02079005,n02077923
870,n02439033,n02399000
871,n02402175,n02402010
872,n02361090,n02360781
873,n02079389,n02076196
874,n02324045,n02323902
875,n02347274,n02346998
876,n02139671,n02139199
877,n02322992,n02323449
878,n02390454,n02389346
879,n02126028,n02124623
880,n02485536,n02484975
881,n02104280,n02103841
882,n02404432,n02404186
883,n02404186,n02402425
884,n02445004,n02444819
885,n02475669,n02474777
886,n02123045,n02121808
887,n02141611,n02141306
888,n02360933,n02360781
889,n02126640,n02124623
890,n02372140,n02372046
891,n02324431,n02324045
892,n02481235,n02480855
893,n02459485,n02453611
894,n02490219,n02489589
895,n02140491,n02139671
896,n02072493,n02062744
897,n02487675,n02487347
898,n02099712,n02099029
899,n02456962,n02453611
900,n02375757,n02374451
901,n02120997,n02075296
902,n02377703,n02374451
903,n02402010,n02401031
904,n02327842,n02326432
905,n02104184,n02103841
906,n02148991,n02148835
907,n02063224,n02062744
908,n02408660,n02408429
909,n02504196,n02504013
910,n02109525,n02103406
911,n02357111,n02355477
912,n02470325,n02469914
913,n02340640,n02331046
914,n02432983,n02430045
915,n02507148,n01886756
916,n02459190,n02453611
917,n02508021,n02507649
918,n02331842,n02329401
919,n02065726,n02063224
920,n02454794,n02454379
921,n02460817,n02460009
922,n02327028,n02326432
923,n02454379,n02453611
924,n02111889,n02111626
925,n02338722,n02329401
926,n02501923,n02501583
927,n02370806,n01886756
928,n02481366,n02480855
929,n02088632,n02087551
930,n02090379,n02087551
931,n02117646,n02117135
932,n02368399,n02329401
933,n02443114,n02441326
934,n02361337,n02329401
935,n02105412,n02104523
936,n02483362,n02483092
937,n02119247,n02119022
938,n02437616,n02394477
939,n02107312,n02106966
940,n02453611,n01886756
941,n02387887,n02386496
942,n02448885,n02447366
943,n02325366,n02324045
944,n02341616,n02339376
945,n02123242,n02121808
946,n02114100,n02083346
947,n02091032,n02090827
948,n02328942,n02328429
949,n02129165,n02127808
950,n02359324,n02329401
951,n02473554,n02471762
952,n02139199,n01886756
953,n02502807,n02502514
954,n02379183,n02377703
955,n02144936,n02144593
956,n02137015,n02134971
957,n02116185,n02115335
958,n02420509,n02419796
959,n02153809,n01861778
960,n02486908,n02486410
961,n02388735,n02374451
962,n02102318,n02101108
963,n02149861,n02149420
964,n02100877,n02100399
965,n02119634,n02118333
966,n02074367,n02073250
967,n02149420,n02141306
968,n02504013,n02503517
969,n02381261,n02377703
970,n02108254,n02103406
971,n02427183,n02426813
972,n02392555,n02391994
973,n02118707,n02118333
974,n02442172,n02441942
975,n02363005,n02329401
976,n02143891,n02141713
977,n02453108,n01886756
978,n02386968,n02386496
979,n02406432,n02406174
980,n02379329,n02377703
981,n02102480,n02101108
982,n02081571,n02075927
983,n02088745,n02087551
984,n02113023,n02112826
985,n02470899,n02470325
986,n02372952,n02372584
987,n02405929,n02404186
988,n02130086,n02127808
989,n02376135,n02374451
990,n02324587,n02324045
991,n02382635,n02382437
992,n02352591,n02329401
993,n02124623,n02121620
994,n02352932,n02352591
995,n02509197,n02507649
996,n02350105,n02331309
997,n02337902,n02339376
998,n02071028,n02068974
999,n02355477,n02355227
1000,n02386141,n02386014
1001,n02143439,n02141713
1002,n02335127,n02329401
1003,n02484322,n02469914
1004,n02415253,n02414578
1005,n02380875,n02380745
1006,n02426481,n02419796
1007,n02378149,n02377703
1008,n02142898,n02141713
1009,n02344270,n02343772
1010,n02474110,n02472293
1011,n02102806,n02102605
1012,n02070430,n02068974
1013,n02085374,n02084071
1014,n02461830,n01886756
1015,n02076196,n02075927
1016,n02080713,n02079389
1017,n02086646,n02086478
1018,n02497673,n02496913
1019,n02087394,n02087122
1020,n02099029,n02098550
1021,n02395003,n02394477
1022,n02413484,n02413131
1023,n02438173,n02437616
1024,n02363996,n02329401
1025,n02336011,n02329401
1026,n02387254,n02386310
1027,n02443346,n02443114
1028,n02127052,n02124623
1029,n02375438,n02374451
1030,n02419634,n02418064
1031,n02372584,n01886756
1032,n02136285,n02135220
1033,n02384741,n02374451
1034,n02384741,n02384858
1035,n02352002,n02351870
1036,n02387093,n02386496
1037,n02443808,n02441942
1038,n02381744,n02381460
1039,n02067603,n02066707
1040,n02498743,n02496913
1041,n02409870,n02402175
1042,n02428842,n02401031
1043,n02137302,n02135220
1044,n02122430,n02121808
1045,n02476567,n02476219
1046,n02388276,n02382948
1047,n02431785,n02430045
1048,n02434954,n02430045
1049,n02382039,n02380335
1050,n02116738,n02115335
1051,n02396088,n02395003
1052,n02343772,n02329401
1053,n02361706,n02361337
1054,n02488291,n02484473
1055,n02418770,n02418064
1056,n02123785,n02123597
1057,n02072953,n02062744
1058,n02091244,n02087551
1059,n02396796,n02395003
1060,n02349390,n02348788
1061,n02362194,n02355227
1062,n02109391,n02103406
1063,n02477028,n02476219
1064,n02446206,n02445715
1065,n02071636,n02068974
1066,n02114367,n02114100
1067,n02345774,n02345600
1068,n02065263,n02064338
1069,n02130308,n02127808
1070,n02089973,n02089555
1071,n02105251,n02104523
1072,n02134418,n02131653
1073,n02093754,n02092468
1074,n02141306,n02139199
1075,n02358712,n02358091
1076,n02332156,n02330245
1077,n02106662,n02104523
1078,n02144251,n02141713
1079,n02444819,n02441326
1080,n02108672,n02103406
1081,n02143142,n02141713
1082,n02340930,n02339376
1083,n02126139,n02124623
1084,n02084071,n02083346
1085,n02084071,n01317541
1086,n02344918,n02344528
1087,n02338901,n02329401
1088,n02138777,n02138441
1089,n02396157,n02395003
1090,n02439398,n02439033
1091,n02425532,n02419796
1092,n02407390,n02406174
1093,n02481103,n02480855
1094,n02431441,n02431122
1095,n02433546,n02430045
1096,n02329401,n01886756
1097,n02127381,n02127052
1098,n02500596,n02496913
1099,n02410011,n02409870
1100,n02406174,n02402425
1101,n01876667,n01876326
1102,n01878929,n01877812
1103,n01886045,n01874434
1104,n01881171,n01874434
1105,n01883513,n01874434
1106,n01884203,n01883920
1107,n01889520,n01889074
1108,n01893164,n01892551
1109,n01886756,n01861778
1110,n01894207,n01889074
1111,n01890144,n01889520
1112,n01893021,n01892551
1113,n01888264,n01886756
1114,n01887787,n01886756
1115,n01892744,n01892551
1116,n01875313,n01874928
1117,n01884104,n01883920
1118,n01878639,n01877812
1119,n01323068,n02129604
1120,n01323068,n01322685
1121,n01862399,n01861778
1122,n01862399,n01320872
1123,n01892030,n01891633
1124,n01878061,n01877812
1125,n01894956,n01889074
1126,n01880813,n01880152
1127,n01891013,n01890860
1128,n01891274,n01890860
1129,n01879509,n01877812
1130,n01890564,n01889520
1131,n01322508,n02114100
1132,n01322508,n01321854
1133,n01882714,n01881171
1134,n01871265,n01861778
1135,n01871543,n01861778
1136,n01885158,n01883513
1137,n01885498,n01883513
1138,n01880716,n01880152
1139,n01872401,n01871875
1140,n01877134,n01874434
1141,n01892551,n01891633
1142,n01877606,n01877134
1143,n01873982,n01861778
1144,n01877812,n01877134
1145,n01893825,n01889074
1146,n01884476,n01883513
1147,n01888411,n01886756
1148,n01873310,n01871875
1149,n01884834,n01883513
1150,n01874434,n01873982
1151,n01882508,n01882125
