,gloss,wnid,words
23,short hairy perennial with early spring blue-violet or lilac flowers; North America and Siberia,n11737752,"American pasqueflower, Eastern pasque flower, wild crocus, lion's beard, prairie anemone, blue tulip, American pulsatilla, Pulsatilla patens, Anemone ludoviciana"
24,of western North America,n11738063,"Western pasqueflower, Pulsatilla occidentalis, Anemone occidentalis"
25,European perennial having usually violet or white spring flowers,n11738203,"European pasqueflower, Pulsatilla vulgaris, Anemone pulsatilla"
26,any of various herbs of the genus Thalictrum; sometimes rhizomatous or tuberous perennials found in damp shady places and meadows or stream banks; have lacy foliage and clouds of small purple or yellow flowers,n11738547,meadow rue
27,any of various plants of the genus Abronia of western North America and Mexico having flowers resembling verbena,n11836722,sand verbena
28,plant having heads of fragrant white trumpet-shaped flowers; grows in sandy arid regions,n11837020,"snowball, sweet sand verbena, Abronia elliptica"
29,taller than Abronia elliptica and having night-blooming flowers,n11837204,"sweet sand verbena, Abronia fragrans"
30,plant having hemispherical heads of yellow trumpet-shaped flowers; found in coastal dunes from California to British Columbia,n11837351,"yellow sand verbena, Abronia latifolia"
31,plant having hemispherical heads of wine-red flowers; found in coastal dunes from California to Mexico,n11837562,"beach pancake, Abronia maritima"
32,prostrate herb having heads of deep pink to white flowers; found in coastal dunes from British Columbia to Baja California,n11837743,"beach sand verbena, pink sand verbena, Abronia umbellata"
33,soft-haired sticky plant with heads of bright pink trumpet-shaped flowers; found in sandy desert soil; after ample rains may carpet miles of desert with pink from the southwestern United States to northern Mexico,n11837970,"desert sand verbena, Abronia villosa"
34,trailing plant having crowded clusters of 3 brilliant deep pink flowers resembling a single flower blooming near the ground; found in dry gravelly or sandy soil; southwestern United States and Mexico,n11838413,"trailing four o'clock, trailing windmills, Allionia incarnata"
35,succulent carpet-forming plant having small brilliant reddish-pink flowers; southwestern United States,n11858814,"red maids, redmaids, Calandrinia ciliata"
36,evergreen perennial having a dense basal rosette of long spatula-shaped leaves and panicles of pink or white-and-red-striped or pink-purple flowers; found on cliffs and in rock crevices in mountains of southwestern Oregon and northern California,n11860208,"siskiyou lewisia, Lewisia cotyledon"
37,showy succulent ground-hugging plant of Rocky Mountains regions having deep to pale pink flowers and fleshy farinaceous roots; the Montana state flower,n11860555,"bitterroot, Lewisia rediviva"
38,pink clusters of densely packed flowers on prostrate stems resemble upturned pads of cats' feet; grow in coniferous forests of western North America,n11862300,"pussy-paw, pussy-paws, pussy's-paw, Spraguea umbellatum, Calyptridium umbellatum"
39,plant with fleshy roots and erect stems with narrow succulent leaves and one reddish-orange flower in each upper leaf axil; southwestern United States; Indians once cooked the fleshy roots,n11862835,"flame flower, flame-flower, flameflower, Talinum aurantiacum"
40,similar to Talinum aurantiacum but with narrower leaves and yellow-orange flowers; southwestern United States,n11863242,"narrow-leaved flame flower, Talinum augustissimum"
41,low plant with crowded narrow succulent leaves and fairly large deep pink axillary flowers that seem to sit on the ground; southwestern United States,n11863467,"pigmy talinum, Talinum brevifolium"
42,pink-flowered perennial of rocky regions of western United States,n11863717,"rock pink, Talinum calycinum"
43,erect plant with tuberous roots and terminal panicles of red to yellow flowers; southwestern North America to Central America; widely introduced elsewhere,n11863877,"jewels-of-opar, Talinum paniculatum"
44,low cushion-forming plant with rose to crimson-magenta flowers and leaf midribs that persist as spines when the leaves die; southwestern United States,n11864114,"spiny talinum, Talinum spinescens"
45,tiny grey woolly tufted annual with small golden-yellow flower heads; southeastern California to northwestern Arizona and southwestern Utah; sometimes placed in genus Eriophyllum,n11924014,"woolly daisy, dwarf daisy, Antheropeas wallacei, Eriophyllum wallacei"
46,wildflower with heart-shaped leaves and broad yellow flower heads; of alpine areas west of the Rockies from Alaska to southern California,n11926976,"heartleaf arnica, Arnica cordifolia"
47,herb of pasture and open woodland throughout most of Europe and western Asia having orange-yellow daisylike flower heads that when dried are used as a stimulant and to treat bruises and swellings,n11927215,Arnica montana
48,any of various autumn-flowering perennials having white or pink to purple flowers that resemble asters; wild in moist soils from New Jersey to Florida and Texas,n11941478,false chamomile
49,Eurasian perennial herbs having daisylike flowers with yellow rays and dark centers,n11942487,oxeye
50,hairy Eurasian perennial having deep yellow daisies on lax willowy stems; found in the wild in open woodland and on rocky slopes,n11942659,"woodland oxeye, Buphthalmum salicifolium"
51,any of several shrubby herbs or subshrubs of the genus Chrysopsis having bright golden-yellow flower heads that resemble asters; throughout much of United States and into Canada,n11951511,golden aster
52,perennial golden aster of southeastern United States,n11951820,"Maryland golden aster, Chrysopsis mariana"
53,a variety of golden aster,n11951961,grass-leaved golden aster
54,a variety of golden aster,n11952058,sickleweed golden aster
55,any of various plants of the genus Crepis having loose heads of yellow flowers on top of a long branched leafy stem; northern hemisphere,n11959259,"hawk's-beard, hawk's-beards"
56,fragrant rounded shrub of southwestern United States and adjacent Mexico having brittle stems and small crowded blue-green leaves and yellow flowers; produces a resin used in incense and varnish and in folk medicine,n11963932,"brittlebush, brittle bush, incienso, Encelia farinosa"
57,herb having a basal cluster of grey-green leaves and leafless stalks each with a solitary broad yellow flower head; desert areas Idaho to Arizona,n11964446,"sunray, Enceliopsis nudicaulis"
58,common erect hairy perennial of plains and prairies of southern and central United States having flowers that resemble sunflowers,n11964848,engelmannia
59,any of several North American plants of the genus Erigeron having daisylike flowers; formerly believed to repel fleas,n11965627,fleabane
60,widespread weed with pale purple-blue flowers,n11965962,"blue fleabane, Erigeron acer"
61,widely naturalized white-flowered North American herb,n11966083,"daisy fleabane, Erigeron annuus"
62,mat-forming herb of Turkestan with nearly double orange-yellow flowers,n11966215,"orange daisy, orange fleabane, Erigeron aurantiacus"
63,well-branched plant with hairy leaves and stems each with a solitary flower head with narrow white or pink or lavender rays; western North America,n11966385,"spreading fleabane, Erigeron divergens"
64,slightly succulent perennial with basal leaves and hairy sticky stems each bearing a solitary flower head with narrow pink or lavender rays; coastal bluffs Oregon to southern California,n11966617,"seaside daisy, beach aster, Erigeron glaucous"
65,especially pretty plant having a delicate fringe of threadlike rays around flower heads having very slender white or pink rays; United States and Canada,n11966896,"Philadelphia fleabane, Erigeron philadelphicus"
66,common perennial of eastern North America having flowers with usually violet-purple rays,n11967142,"robin's plantain, Erigeron pulchellus"
67,plant having branching leafy stems each branch with an especially showy solitary flower head with many narrow pink or lavender or white rays; northwestern United States mountains,n11967315,"showy daisy, Erigeron speciosus"
68,any plant of the genus Eriophyllum,n11967744,woolly sunflower
69,greyish woolly leafy perennial with branched stems ending in leafless stalks bearing golden-yellow flower heads; dry areas western North America,n11967878,"golden yarrow, Eriophyllum lanatum"
70,any plant of western America of the genus Gaillardia having hairy leaves and long-stalked flowers in hot vibrant colors from golden yellow and copper to rich burgundy,n11970586,gaillardia
71,annual of central United States having showy long-stalked yellow flower heads marked with scarlet or purple in the center,n11970846,"blanket flower, Indian blanket, fire wheel, fire-wheel, Gaillardia pulchella"
72,slender hairy plant with few leaves and golden-yellow flower heads; sandy desert areas of southeastern California to southwestern Utah and western Arizona and northwestern Mexico,n11972291,"desert sunflower, Gerea canescens"
73,a plant of the genus Haplopappus,n11976170,goldenbush
74,annual of southern United States and Mexico having bristly leaves and pale yellow flowers,n11976314,"camphor daisy, Haplopappus phyllocephalus"
75,slender perennial of western North America having weakly bristly leaves and yellow flower heads,n11976511,"yellow spiny daisy, Haplopappus spinulosus"
76,any North American shrubby perennial herb of the genus Heliopsis having large yellow daisylike flowers,n11980682,"heliopsis, oxeye"
77,hairy perennial with yellow flower heads in branched clusters; found almost everywhere in dry places from Canada to west central and western United States; sometimes placed in genus Chrysopsis,n11981475,"hairy golden aster, prairie golden aster, Heterotheca villosa, Chrysopsis villosa"
78,low tufted plant having hairy stems each topped by a flower head with short narrow yellow rays; northwestern United States,n11983375,"alpine gold, alpine hulsea, Hulsea algida"
79,similar to but smaller than alpine hulsea,n11983606,"dwarf hulsea, Hulsea nana"
80,small slender woolly annual with very narrow opposite leaves and branches bearing solitary golden-yellow flower heads; southwestern Oregon to Baja California and Arizona; often cultivated,n11988132,"goldfields, Lasthenia chrysostoma"
81,any of various common wildflowers of the genus Leontodon; of temperate Eurasia to Mediterranean regions,n11988893,hawkbit
82,fall-blooming European herb with a yellow flower; naturalized in the United States,n11989087,"fall dandelion, arnica bud, Leontodon autumnalis"
83,alpine perennial plant native to Europe having leaves covered with whitish down and small flower heads held in stars of glistening whitish bracts,n11989393,"edelweiss, Leontopodium alpinum"
84,perennial herb closely resembling European edelweiss; New Zealand,n11990920,"north island edelweiss, Leucogenes leontopodium"
85,any of various North American plants of the genus Liatris having racemes or panicles of small discoid flower heads,n11991263,"blazing star, button snakeroot, gayfeather, gay-feather, snakeroot"
86,herb with many stems bearing narrow slender wands of crowded rose-lavender flowers; central United States and Canada to Texas and northern Mexico,n11991549,"dotted gayfeather, Liatris punctata"
87,perennial of southeastern and central United States having very dense spikes of purple flowers; often cultivated for cut flowers,n11991777,"dense blazing star, Liatris pycnostachya"
88,wild aster with fernlike leaves and flower heads with very narrow bright purple rays; Alberta to Texas and Mexico,n11993203,"tahoka daisy, tansy leaf aster, Machaeranthera tanacetifolia"
89,wild aster having leafy stems and flower heads with narrow bright reddish-lavender or purple rays; western Colorado to Arizona,n11993444,"sticky aster, Machaeranthera bigelovii"
90,wild aster having greyish leafy stems and flower heads with narrow pale lavender or violet rays; of rocky desert slopes California to Arizona and Utah,n11993675,"Mojave aster, Machaeranthera tortifoloia"
91,California annual having red-brown spots near the base of its yellow flower rays,n11994336,"common madia, common tarweed, Madia elegans"
92,bushy subshrub having flower heads that resemble asters with broad white rays; found in desert areas of Arizona east to Kansas and south to Mexico,n11995840,"blackfoot daisy, Melampodium leucanthum"
93,a wildflower of the genus Ratibida,n12006766,coneflower
94,coneflower with flower heads resembling a Mexican hat with a tall red-brown disk and drooping yellow or yellow and red-brown rays; grows in the great plains along base of Rocky Mountains,n12006930,"Mexican hat, Ratibida columnaris"
95,plant similar to the Mexican hat coneflower; from British Columbia to New Mexico,n12007196,"long-head coneflower, prairie coneflower, Ratibida columnifera"
96,coneflower of central to southwestern United States,n12007406,"prairie coneflower, Ratibida tagetes"
97,plant with erect leafy stems bearing clusters of rayless yellow flower heads on bent individual stalks; moist regions of southwestern United States,n12011370,"nodding groundsel, Senecio bigelovii"
98,American ragwort with yellow flowers,n12012111,"butterweed, ragwort, Senecio glabellus"
99,perennial with sharply toothed triangular leaves on leafy stems bearing a cluster of yellow flower heads; moist places in mountains of western North America,n12012510,"arrowleaf groundsel, Senecio triangularis"
100,any of numerous chiefly summer-blooming and fall-blooming North American plants especially of the genus Solidago,n12015959,goldenrod
101,plant of eastern North America having creamy white flowers,n12016434,"silverrod, Solidago bicolor"
102,large North American goldenrod having showy clusters of yellow flowers on arching branches; often a weed,n12016567,"meadow goldenrod, Canadian goldenrod, Solidago canadensis"
103,similar to meadow goldenrod but usually smaller,n12016777,"Missouri goldenrod, Solidago missouriensis"
104,goldenrod similar to narrow goldenrod but having bristly hairs on edges of leaf stalks; mountainous regions of western America,n12016914,"alpine goldenrod, Solidago multiradiata"
105,a dyer's weed of Canada and the eastern United States having yellow flowers sometimes used in dyeing,n12017127,"grey goldenrod, gray goldenrod, Solidago nemoralis"
106,goldenrod of eastern America having aromatic leaves from which a medicinal tea is made,n12017326,"Blue Mountain tea, sweet goldenrod, Solidago odora"
107,eastern North American herb whose yellow flowers are (or were) used in dyeing,n12017511,"dyer's weed, Solidago rugosa"
108,vigorous showy goldenrod common along eastern coast and Gulf Coast of North America,n12017664,"seaside goldenrod, beach goldenrod, Solidago sempervirens"
109,western American goldenrod with long narrow clusters of small yellow flowers,n12017853,"narrow goldenrod, Solidago spathulata"
110,a variety of goldenrod,n12018014,Boott's goldenrod
111,a variety of goldenrod,n12018100,Elliott's goldenrod
112,a variety of goldenrod,n12018188,Ohio goldenrod
113,a variety of goldenrod,n12018271,rough-stemmed goldenrod
114,a variety of goldenrod,n12018363,showy goldenrod
115,a variety of goldenrod,n12018447,tall goldenrod
116,a variety of goldenrod,n12018530,"zigzag goldenrod, broad leaved goldenrod"
117,dark green erect herb of northwestern United States and southwestern Canada having stiff leaves in dense tufts and yellow flower heads; sometimes placed in genus Haplopappus,n12019375,"stemless golden weed, Stenotus acaulis, Haplopappus acaulis"
118,lightly hairy rhizomatous perennial having aromatic feathery leaves and stems bearing open clusters of small buttonlike yellow flowers; sand dunes of Pacific coast of North America,n12022821,"northern dune tansy, Tanacetum douglasii"
119,perennial having tufted basal leaves and short leafless stalks each bearing a solitary yellow flower head; dry hillsides and plains of west central North America,n12025220,"stemless hymenoxys, Tetraneuris acaulis, Hymenoxys acaulis"
120,whitish hairy plant with featherlike leaves and a few stout stems each bearing an especially handsome solitary large yellow flower head; mountainous regions north central United States,n12025507,"old man of the mountain, alpine sunflower, Tetraneuris grandiflora, Hymenoxys grandiflora"
121,European perennial naturalized throughout United States having hollow stems with a few long narrow tapered leaves and each bearing a solitary pale yellow flower,n12026981,"yellow salsify, Tragopogon dubius"
122,weedy European annual with yellow flowers; naturalized in United States,n12027658,"meadow salsify, goatsbeard, shepherd's clock, Tragopogon pratensis"
123,balsamic-resinous herb with clumps of lanceolate leaves and stout leafy stems ending in large deep yellow flowers on long stalks; northwestern United States,n12032429,"mule's ears, Wyethia amplexicaulis"
124,herb with basal leaves and leafy hairy stems bearing solitary flower heads with white or pale cream-colored rays; northwestern United States,n12032686,"white-rayed mule's ears, Wyethia helianthoides"
125,small waxy white or pinkish-white saprophytic woodland plant having scalelike leaves and a nodding flower; turns black with age,n12258885,"Indian pipe, waxflower, Monotropa uniflora"
126,fleshy tawny or reddish saprophytic herb resembling the Indian pipe and growing in woodland humus of eastern North America; in some classifications placed in a separate genus Hypopitys,n12259316,"pinesap, false beachdrops, Monotropa hypopithys"
127,a fleshy bright red saprophytic plant of the mountains of western North America that appears in early spring while snow is on the ground,n12259788,"snow plant, Sarcodes sanguinea"
128,one of the most handsome prairie wildflowers having large erect bell-shaped bluish flowers; of moist places in prairies and fields from eastern Colorado and Nebraska south to New Mexico and Texas,n12291959,"prairie gentian, tulip gentian, bluebell, Eustoma grandiflorum"
129,plant with leaves mostly at the base and openly branched clusters of small white flowers; western North America,n12796385,"coast boykinia, Boykinia elata, Boykinia occidentalis"
130,plant with basal leathery elliptic leaves and erect leafless flower stalks each bearing a dense roundish cluster of tiny white flowers; moist places of northwestern North America to Oregon and Idaho,n12799269,"leatherleaf saxifrage, Leptarrhena pyrolifolia"
131,plant with mostly basal leaves and slender open racemes of white or pale pink flowers; prairies and open forest of northwestern United States to British Columbia and Alberta,n12800049,"prairie star, Lithophragma parviflorum"
132,bog plant with broadly heart-shaped basal leaves and cream-colored or white saucer-shaped flowers with fringed petals; west of Rocky Mountains from Alaska to New Mexico,n12801966,"fringed grass of Parnassus, Parnassia fimbriata"
133,plant growing in clumps with mostly basal leaves and cream-colored or pale pink fringed flowers in several long racemes; Alaska to coastal central California and east to Idaho,n12803226,"false alumroot, fringe cups, Tellima grandiflora"
134,plant with tiny white flowers hanging in loose clusters on leafy stems; moist woods from Alaska to central California and east to Montana,n12803958,"false miterwort, false mitrewort, Tiarella unifoliata"
135,a plant of the genus Besseya having fluffy spikes of flowers,n12878169,kitten-tails
136,small pale plant with dense spikes of pale bluish-violet flowers; of high cold meadows from Wyoming and Utah to New Mexico,n12878325,"Alpine besseya, Besseya alpina"
137,any of various plants of the genus Castilleja having dense spikes of hooded flowers with brightly colored bracts,n12879963,"Indian paintbrush, painted cup"
138,most common paintbrush of western United States dry lands; having erect stems ending in dense spikes of bright orange to red flowers,n12880244,"desert paintbrush, Castilleja chromosa"
139,wildflower of western North America having ragged clusters of crimson or scarlet flowers,n12880462,"giant red paintbrush, Castilleja miniata"
140,hairy plant with pinkish flowers; Great Plains to northern Mexico,n12880638,"great plains paintbrush, Castilleja sessiliflora"
141,plant of moist highland meadows having ragged clusters of pale yellow flowers,n12880799,"sulfur paintbrush, Castilleja sulphurea"
142,white and lavender to pale-blue flowers grow in perfect rings of widely spaced bands around the stems forming a kind of pagoda; California,n12881631,"purple chinese houses, innocense, Collinsia bicolor, Collinsia heterophylla"
143,small widely branching western plant with tiny blue-and-white flowers; British Columbia to Ontario and south to California and Colorado,n12881913,"maiden blue-eyed Mary, Collinsia parviflora"
144,eastern United States plant with whorls of blue-and-white flowers,n12882158,"blue-eyed Mary, Collinsia verna"
145,plant of southwestern United States having long open clusters of scarlet flowers with yellow hairs on lower lip,n12885045,"golden-beard penstemon, Penstemon barbatus"
146,plant with bright red tubular flowers in long narrow clusters near tips of erect stems; coastal ranges from central California southward,n12885265,"scarlet bugler, Penstemon centranthifolius"
147,erect plant with blue-violet flowers in rings near tips of stems; Idaho to Utah and Wyoming,n12885754,"Platte River penstemon, Penstemon cyananthus"
148,mat-forming plant with blue and lavender flowers clustered on short erect stems; British Columbia to northern California,n12885956,"Davidson's penstemon, Penstemon davidsonii"
149,stems in clumps with cream-colored flowers; found from Washington to Wyoming and southward to California and Utah,n12886185,"hot-rock penstemon, Penstemon deustus"
150,low plant with light blue and violet flowers in short clusters near tips of stems; Nevada to Utah,n12886402,"Jones' penstemon, Penstemon dolius"
151,low bushy plant with large showy pale lavender or blue-violet flowers in narrow clusters at ends of stems,n12886600,"shrubby penstemon, lowbush penstemon, Penstemon fruticosus"
152,plant having small narrow leaves and blue-violet flowers in long open clusters; Utah and Colorado to New Mexico and Arizona,n12886831,"narrow-leaf penstemon, Penstemon linarioides"
153,mat-forming plant with deep pink flowers on short erect leafy stems; rocky places at high elevations from Oregon to California,n12887065,"mountain pride, Penstemon newberryi"
154,fragrant puffed-up white to reddish-pink flowers in long narrow clusters on erect stems; Arizona to New Mexico and Utah,n12887293,"balloon flower, scented penstemon, Penstemon palmeri"
155,erect stems with pinkish-lavender flowers in long interrupted clusters; Arizona,n12887532,"Parry's penstemon, Penstemon parryi"
156,one of the West's most beautiful wildflowers; large brilliant pink or rose flowers in many racemes above thick mats of stems and leaves; ledges and cliffs from Washington to California,n12887713,"rock penstemon, cliff penstemon, Penstemon rupicola"
157,plant with whorls of small dark blue-violet flowers; Washington to Wyoming and south to California and Colorado,n12888016,"Rydberg's penstemon, Penstemon rydbergii"
158,whorls of deep blue to dark purple flowers at tips of erect leafy stems; moist places from British Columbia to Oregon,n12888234,"cascade penstemon, Penstemon serrulatus"
159,wine and lavender to purple and black flowers in several clusters on the upper half of leafy stems; Montana south through the Rocky Mountains to Arizona and New Mexico,n12888457,"Whipple's penstemon, Penstemon whippleanus"
160,a widely naturalized Eurasian herb with finely cut foliage and white compound umbels of small white or yellowish flowers and thin yellowish roots,n12937130,"wild carrot, Queen Anne's lace, Daucus carota"
161,any plant grown for its beauty or ornamental value,n11536087,ornamental
162,an ornamental plant of the genus Abutilon having leaves that resemble maple leaves,n12172906,flowering maple
163,a plant suitable for growing in a flowerpot (especially indoors),n11536230,pot plant
164,any flowerless plant such as a fern (pteridophyte) or moss (bryophyte) in which growth occurs only at the tip of the main stem,n11536369,acrogen
165,a plant that reproduces or is reproduced by apomixis,n11536567,apomict
166,a plant that lives in or on water,n11536673,aquatic
167,"formerly recognized taxonomic group including all flowerless and seedless plants that reproduce by means of spores: ferns, mosses, algae, fungi",n11552133,cryptogam
168,any of a group of cryptogamic organisms consisting principally of a thallus and thus showing no differentiation into stem and root and leaf,n11531701,thallophyte
169,(botany) a plant that completes its entire life cycle within the space of a year,n11552806,annual
170,(botany) a plant having a life cycle that normally takes two seasons from germination to death to complete; flowering biennials usually bloom and fruit in the second season,n11552976,biennial
171,(botany) a plant lasting for three seasons or more,n11553240,perennial
172,coarse prickly perennial eryngo of United States thought to cure rattlesnake bite,n12938667,"rattlesnake master, rattlesnake's master, button snakeroot, Eryngium yuccifolium"
173,a plant originally cultivated but now growing wild,n11553419,escape
174,a plant that grows in a moist habitat,n11553522,hygrophyte
175,a plant that is found in an area where it had not been recorded previously,n11553634,neophyte
176,(botany) a minute rudimentary plant contained within a seed or an archegonium,n11686503,embryo
177,a plant that bears fruit once and dies,n11686780,"monocarp, monocarpic plant, monocarpous plant"
178,the spore-producing individual or phase in the life cycle of a plant having alternation of generations,n11686912,sporophyte
179,the gamete-bearing individual or phase in the life cycle of a plant having alternation of generations,n11687071,gametophyte
180,the female gametophyte produced by the megaspore of a plant that produces both microspore and megaspores,n11687266,megagametophyte
181,the male gametophyte produced by a microspore,n11687681,microgametophyte
182,any of a variety of plants grown indoors for decorative purposes,n13083023,houseplant
183,erect or partially climbing herb having large green or variegated leaves,n11781658,"Chinese evergreen, Japanese leaf, Aglaonema modestum"
184,any of various tropical American plants cultivated for their showy foliage and flowers,n11783920,"anthurium, tailflower, tail-flower"
185,commonly cultivated anthurium having bright scarlet spathe and spadix,n11784126,"flamingo flower, flamingo plant, Anthurium andraeanum, Anthurium scherzerianum"
186,bushy houseplant having white to pale pink flowers followed by racemes of scarlet berries; tropical Americas,n11856573,"bloodberry, blood berry, rougeberry, rouge plant, Rivina humilis"
187,Javanese foliage plant grown for their handsome velvety leaves with violet-purple hairs,n11975254,"velvet plant, purple velvet plant, royal velvet plant, Gynura aurantiaca"
188,perennial cultivated especially as a houseplant for its fragrant bluish to dark lavender flowers,n12292463,"Persian violet, Exacum affine"
189,any plant of the genus Episcia; usually creeping and stoloniferous and of cascading habit; grown for their colorful foliage and flowers,n12831932,episcia
190,any of several plants of the genera Gloxinia or Sinningia (greenhouse gloxinias) having showy bell-shaped flowers,n12832315,gloxinia
191,herb of Colombia to Peru having pale purple flowers,n12832538,"Canterbury bell, Gloxinia perennis"
192,South American herb cultivated in many varieties as a houseplant for its large handsome leaves and large variously colored bell-shaped flowers,n12833526,"florist's gloxinia, Sinningia speciosa, Gloxinia spesiosa"
193,shrubby herb cultivated for their soft velvety foliage and showy scarlet flowers,n12832822,kohleria
194,any of various ornamental plants of the genus Plectranthus,n12862512,plectranthus
195,any of a variety of plants usually grown especially in a flower or herb garden,n13083306,garden plant
196,an ornamental plant suitable for planting in a flowerbed,n13083461,"bedder, bedding plant"
197,"green plant having a vascular system: ferns, gymnosperms, angiosperms",n13083586,"vascular plant, tracheophyte"
198,plants having vascular tissue and reproducing by spores,n11545524,"pteridophyte, nonflowering plant"
199,any of numerous flowerless and seedless vascular plants having true roots from a rhizome and fronds that uncurl upward; reproduce by spores,n11545714,fern
200,Carboniferous fossil fern characterized by a regular arrangement of the leaflets resembling a comb,n11545350,pecopteris
201,any fern of the genus Hymenophyllum growing in tropical humid regions and having translucent leaves,n12951835,"filmy fern, film fern"
202,any fern of the genus Trichomanes having large pinnatifid often translucent fronds; most are epiphytic on tree branches and twigs or terrestrial on mossy banks,n12952165,"bristle fern, filmy fern"
203,a variety of bristle fern,n12952469,"hare's-foot bristle fern, Trichomanes boschianum"
204,large stout fern of extreme western Europe,n12952590,"Killarney fern, Trichomanes speciosum"
205,large fern of New Zealand having kidney-shaped fronds,n12952717,"kidney fern, Trichomanes reniforme"
206,any fern of the genus Osmunda: large ferns with creeping rhizomes; naked sporangia are on modified fronds that resemble flower clusters,n12953206,"flowering fern, osmund"
207,large deeply rooted fern of worldwide distribution with upright bipinnate compound tufted fronds,n12953484,"royal fern, royal osmund, king fern, ditch fern, French bracken, Osmunda regalis"
208,North American fern having tall erect pinnate fronds and a few sporogenous pinnae at or near the center of the fertile fronds,n12953712,"interrupted fern, Osmunda clatonia"
209,New World fern having woolly cinnamon-colored spore-bearing fronds in early spring later surrounded by green fronds; the early uncurling fronds are edible,n12953919,"cinnamon fern, fiddlehead, fiddlehead fern, Osmunda cinnamonea"
210,New Zealand with pinnate fronds and a densely woolly stalks; sometimes included in genus Todea,n12954353,"crape fern, Prince-of-Wales fern, Prince-of-Wales feather, Prince-of-Wales plume, Leptopteris superba, Todea superba"
211,fern of rain forests of tropical Australia and New Zealand and South Africa,n12954799,"crepe fern, king fern, Todea barbara"
212,rare small fern of northeastern North America having numerous slender spiraling fronds and forming dense tufts,n12955414,"curly grass, curly grass fern, Schizaea pusilla"
213,fern of Florida and West Indies and Central America with rhizome densely clad in grown hairs,n12955840,"pine fern, Anemia adiantifolia"
214,any of several ferns of the genus Lygodium that climb by twining,n12956170,climbing fern
215,delicate fern of the eastern United States having a twining stem and palmately-lobed sterile fronds and forked fertile fronds,n12956367,"creeping fern, Hartford fern, Lygodium palmatum"
216,tropical fern widespread in Old World; naturalized in Jamaica and Florida,n12956588,"climbing maidenhair, climbing maidenhair fern, snake fern, Lygodium microphyllum"
217,sweetly scented African fern with narrow bipinnate fronds,n12956922,"scented fern, Mohria caffrorum"
218,ferns that grow in water,n12957076,"aquatic fern, water fern"
219,any of several water ferns of the genus Marsilea having four leaflets,n12957608,"clover fern, pepperwort"
220,Australian clover fern,n12957803,"nardoo, nardo, common nardoo, Marsilea drummondii"
221,water fern of Europe and Asia and the eastern United States distinguished by four leaflets resembling clover leaves,n12957924,"water clover, Marsilea quadrifolia"
222,European water fern found around margins of bodies of water or in wet acid soil having small globose sporocarps,n12958261,"pillwort, Pilularia globulifera"
223,small latex-containing aquatic fern of southern Brazil,n12958615,"regnellidium, Regnellidium diphyllum"
224,free-floating aquatic ferns,n12959074,"floating-moss, Salvinia rotundifolia, Salvinia auriculata"
225,small free-floating aquatic fern from the eastern United States to tropical America; naturalized in western and southern Europe,n12959538,"mosquito fern, floating fern, Carolina pond fern, Azolla caroliniana"
226,aquatic fern of tropical America often used in aquariums,n13171797,"floating fern, water sprite, Ceratopteris pteridioides"
227,pantropical aquatic fern,n13171975,"floating fern, Ceratopteris thalictroides"
228,ferns with fertile spikes shaped like a snake's tongue,n12960378,"adder's tongue, adder's tongue fern"
229,epiphytic fern with straplike usually twisted fronds of tropical Asia and Polynesia and America,n12960552,"ribbon fern, Ophioglossum pendulum"
230,a fern of the genus Botrychium having a fertile frond bearing small grapelike clusters of spore cases,n12960863,grape fern
231,of America and Eurasia and Australia,n12961112,"moonwort, common moonwort, Botrychium lunaria"
